rank_by_mcc,dataset,experiment_group,feature_set,model,n_seeds,n_features_mean,extra_dim_mean,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,method_family
11,acepair_cls_2_3,FeatureModelGrid,PhysChemOnly,PhysChemOnly-SVC,5,22.0,,0.6340425531914893,0.0277412868306495,0.6471804511278196,0.0218563035394716,0.693796992481203,0.0241488321026407,0.5716773634166775,0.0547277468724563,0.6101563706563706,0.0336016229199971,0.2959938725931205,0.0468638173880139,0.5400079116769159,0.0339300486323818,0.7157894736842105,0.1153100121063507,0.5785714285714285,0.1083267920578792,Descriptor baseline
12,acepair_cls_2_3,FeatureModelGrid,PhysChemOnly,PhysChemOnly-CatBoost,5,22.0,,0.6404255319148937,0.036388577396781,0.6474624060150376,0.0503449380675101,0.6789003759398498,0.0557630194959578,0.5633637321151508,0.0690663167651177,0.5980334544271922,0.0886330597930069,0.2947467635334203,0.0965960303700224,0.5427075532182803,0.0396854124213657,0.6842105263157895,0.1685032694061276,0.6107142857142857,0.0973173328102764,Descriptor baseline
13,acepair_cls_2_3,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,5,988.0,,0.6276595744680852,0.022567237697443,0.6452067669172932,0.0181362974580854,0.669360902255639,0.0287933942028404,0.5469459995557912,0.0375444926489965,0.6141828521932653,0.0242542234732136,0.2911249068356024,0.0400662715167789,0.5304400472174559,0.023911404715534,0.7368421052631579,0.0872795997461947,0.5535714285714286,0.0828001651383544,Ours: A1 pairwise representation
14,acepair_cls_2_3,GRU4ACE-like,Token/GRU,GRUOnly,5,,0.0,0.6468085106382979,0.0441200879858036,0.6409774436090225,0.0406546075200875,0.6988721804511279,0.0279326723584904,0.6222501577470358,0.0213865899290388,0.5747981980719038,0.0729895912941534,0.289956283289385,0.0733966671006135,0.5670724529979424,0.0479489899510933,0.6105263157894736,0.1807954109191333,0.6714285714285714,0.1590188347206656,GRU4ACE-like
15,acepair_cls_2_3,FeatureModelGrid,SeqOnly,SeqOnly-CatBoost,5,130.0,,0.6276595744680852,0.0537207709487344,0.6282894736842104,0.0422893168612915,0.6952067669172932,0.0266567930316518,0.6083463000003834,0.0477690307912546,0.5563472151960649,0.1225064188255851,0.2802696226251592,0.0783693745345448,0.5615024630541872,0.0839273453137708,0.631578947368421,0.2677235519654711,0.6249999999999999,0.2425549590572522,Sequence baseline
16,acepair_cls_2_3,FeatureModelGrid,A1FlatFull,A1FlatFull-CatBoost,5,906.0,,0.6425531914893617,0.0220600439929017,0.6306390977443609,0.0298152387837918,0.7110902255639097,0.0178552877944243,0.6438846544334552,0.0121582351083402,0.5415823831619743,0.1079505876858544,0.2794535585784227,0.0342352830504002,0.5837402250169383,0.0708358590048477,0.5684210526315789,0.2343435459041388,0.6928571428571428,0.1844565929802389,Ours: A1 pairwise representation
17,acepair_cls_2_3,Fusion,Descriptor_ESM2,Descriptor_ESM2-SVC,5,402.0,,0.6404255319148937,0.0612972778335656,0.6313909774436091,0.0419887746494564,0.7008458646616542,0.0334548843664953,0.6094074700258716,0.0431541999292404,0.5606577095595626,0.0669847526506313,0.2764369218431439,0.0842020310082737,0.5781602678902583,0.0864890229847986,0.5842105263157895,0.1739630934846148,0.6785714285714286,0.1964285714285714,A1/Descriptor + ESM2 fusion
18,acepair_cls_2_3,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-CatBoost,5,1308.0,,0.6340425531914893,0.0220600439929018,0.6319548872180452,0.0368859548012194,0.6728383458646616,0.0517316575114865,0.5818294184623999,0.0592216108998056,0.5671680230087917,0.0858114853681799,0.2684779180663051,0.0670894243048139,0.5472360972360972,0.0337601208177322,0.6210526315789473,0.1847735755951785,0.6428571428571429,0.1262690680690263,A1/Descriptor + ESM2 fusion
19,acepair_cls_2_3,FeatureModelGrid,PhysChemOnly,PhysChemOnly-LR,5,22.0,,0.5957446808510639,0.073704289683782,0.6302631578947369,0.0643362937482078,0.680968045112782,0.0572805866547325,0.5648351681239708,0.0829098752978535,0.620372483931201,0.0487921263775443,0.2674373958937586,0.1232043277299758,0.5042168693506156,0.0561784260994751,0.8105263157894737,0.0432412545398815,0.45,0.11804638486456,Descriptor baseline
20,acepair_cls_2_3,Fusion,Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-RF,5,1308.0,,0.6340425531914894,0.0233073428725602,0.6260338345864662,0.0317005997940907,0.700563909774436,0.0336027457932525,0.6117919975916217,0.0306861517829248,0.5438322492231482,0.1045778656988694,0.2671168876189268,0.0521378556594361,0.5658079542290068,0.0699648358397023,0.5842105263157895,0.2334553170128092,0.6678571428571429,0.1823703061669541,A1/Descriptor + ESM2 fusion
